gmap_id,name,address,city,category,state,tags,postal_code,latitude,longitude,stars,review_count,url
0x88db4147b1d9e6f3:0x943dbd10a92ba1b1,Cape Seafood Shack,603 Del Prado Blvd S,Cape Coral,American,FL,['Restaurant'],33990,26.641377,-81.9405452,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db4147b1d9e6f3:0x943dbd10a92ba1b1?authuser=-1&hl=en&gl=us
0x8890b9241e704667:0x3a1e565c17c00993,Hot Box,1-99 Kinkaid St,Pensacola,American,FL,['Restaurant'],32507,30.3914113,-87.26722029999999,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890b9241e704667:0x3a1e565c17c00993?authuser=-1&hl=en&gl=us
0x88e5b53b107a2609:0x40106d3b48960d9d,"Daily Dose Craft Bar, Inc.",11643 Beach Blvd Unit B,Jacksonville,Cafe,FL,"['Coffee shop', 'Bubble tea store', 'Cafe']",32246,30.2878356,-81.51750129999999,5.0,27,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5b53b107a2609:0x40106d3b48960d9d?authuser=-1&hl=en&gl=us
0x88e8a13da9b3fea3:0x59a99647bb951969,Circle K,4310 SE Hawthorne Rd,Gainesville,Cafe,FL,"['Convenience store', 'ATM', 'Coffee shop', 'Gas station', 'Soft drinks shop']",32641,29.635547,-82.2720159,3.5,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8a13da9b3fea3:0x59a99647bb951969?authuser=-1&hl=en&gl=us
0x88d900575f0dd065:0x9b3638d2a80be4d,Zampini's Bottega,510 SE 5th Ave,Fort Lauderdale,American,FL,['Restaurant'],33301,26.1165493,-80.1385609,4.7,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d900575f0dd065:0x9b3638d2a80be4d?authuser=-1&hl=en&gl=us
0x88e765a15b829793:0x34addf6ffa1d3f77,Food Truck De Camino al Cielo,3310 S Conway Rd,Orlando,American,FL,['Takeout Restaurant'],32812,28.5028594,-81.33130349999999,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e765a15b829793:0x34addf6ffa1d3f77?authuser=-1&hl=en&gl=us
0x88d9b719170a9f61:0x30d454a980f76ad3,Choices Cafe,711 NW 27th Ave,Miami,American,FL,['Restaurant'],33125,25.7798366,-80.23910339999999,4.6,45,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b719170a9f61:0x30d454a980f76ad3?authuser=-1&hl=en&gl=us
0x88e76652cd84272f:0x548abb9935d912ff,Subway,588 S Alafaya Trail #30,Orlando,American,FL,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",32828,28.5372008,-81.20873619999999,4.0,33,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76652cd84272f:0x548abb9935d912ff?authuser=-1&hl=en&gl=us
0x88c3157def9eaaed:0xd996e4695e9209b8,University of South Florida Sarasota-Manatee Campus,8350 N Tamiami Trail,Sarasota,Beverages,FL,['Public university'],34243,27.3914573,-82.5629688,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c3157def9eaaed:0xd996e4695e9209b8?authuser=-1&hl=en&gl=us
0x88d9b395c6179c89:0x914b0aafb453b3b5,Biscayne Backyard Barbecue,11064 Biscayne Blvd,Miami,American,FL,['Restaurant'],33161,25.8779042,-80.1684336,3.9,23,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b395c6179c89:0x914b0aafb453b3b5?authuser=-1&hl=en&gl=us
0x88c2c5c515fa6e53:0xee4f630ca314fe01,Flock and Stock,615 Channelside Dr,Tampa,American,FL,['Restaurant'],33602,27.943383,-82.44751,2.8,52,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c5c515fa6e53:0xee4f630ca314fe01?authuser=-1&hl=en&gl=us
0x88dd8019b7c4167b:0x7043f86a8346dcf3,Sizzler,12195 S Apopka Vineland Rd,Orlando,American,FL,"['Restaurant', 'Seafood restaurant', 'Steak house']",32819,28.4631625,-81.45952559999999,3.4,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8019b7c4167b:0x7043f86a8346dcf3?authuser=-1&hl=en&gl=us
0x88dd7f02de6ab8af:0xbab9000f15a5c0ef,Antojitos Del Caribe,5811 W Irlo Bronson Memorial Hwy,Kissimmee,American,FL,['Restaurant'],34746,28.3335938,-81.5167575,3.5,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7f02de6ab8af:0xbab9000f15a5c0ef?authuser=-1&hl=en&gl=us
0x88e5b4a1d816111b:0x38d7071333903369,Kangaroo Express,1209 Monument Rd,Jacksonville,Cafe,FL,"['Convenience store', 'ATM', 'Coffee shop', 'Diesel fuel supplier', 'Fuel pump', 'Gas station', 'Soft drinks shop']",32225,30.3420568,-81.53766759999999,3.1,26,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5b4a1d816111b:0x38d7071333903369?authuser=-1&hl=en&gl=us
0x88e44b7e69565ac5:0x3dfe920e1417a40c,Cajun Boil Express,14333 Beach Blvd #101,Jacksonville,American,FL,"['Restaurant', 'Delivery Restaurant', 'Seafood restaurant']",32250,30.2884401,-81.43885089999999,5.0,48,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e44b7e69565ac5:0x3dfe920e1417a40c?authuser=-1&hl=en&gl=us
0x88e8a40f83aa9035:0x68b279c2896c36c3,The Brew Spot Cafe,1000 NE 16th Ave,Gainesville,American,FL,"['American restaurant', 'Breakfast restaurant', 'Cafe', 'Dinner theater', 'Wine bar']",32601,29.667441,-82.313135,3.7,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8a40f83aa9035:0x68b279c2896c36c3?authuser=-1&hl=en&gl=us
0x88e5cafa2cc609df:0x1881abd90aaa0c3,Quiznos,9802 Baymeadows Rd #4,Jacksonville,American,FL,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Restaurant']",32256,30.218072,-81.553371,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5cafa2cc609df:0x1881abd90aaa0c3?authuser=-1&hl=en&gl=us
0x88e77f46ddbc8c89:0x775f1236f0715b94,IDRIVE ORLANDO (International Drive Orlando),8015 International Dr #8214,Orlando,American,FL,"['Tourist attraction', 'Dinner theater', 'Parking garage', 'Restaurant', 'Shopping mall', 'Theme park']",32819,28.4473719,-81.4710109,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f46ddbc8c89:0x775f1236f0715b94?authuser=-1&hl=en&gl=us
0x88c315593fad8df5:0x89d6b565bb32c62f,Icon Eatery & Bar,5450 Bollettieri Blvd,Bradenton,American,FL,"['Fine dining restaurant', 'Bar', 'New American restaurant', 'Restaurant']",34210,27.4444209,-82.609045,4.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c315593fad8df5:0x89d6b565bb32c62f?authuser=-1&hl=en&gl=us
0x88d9b6c12dc5bc55:0x8ff2d900fb614b69,Pasha's,1120 NW 14th St,Miami,American,FL,"['Mediterranean restaurant', 'Restaurant']",33136,25.7871651,-80.21294379999999,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6c12dc5bc55:0x8ff2d900fb614b69?authuser=-1&hl=en&gl=us
