"[[46.97586000000007, -123.81597999999997]]"
"[[32.44917000000004, -99.74141999999995]]"
"[[41.89731000000006, -84.03638999999998]]"
"[[18.459664865000036, -67.12076224699996], [18.45002134400005, -67.00518948599995]]"
"[[41.08431000000007, -81.51430999999997]]"
"[[32.89925000000005, -105.96031999999997]]"
"[[44.63548000000003, -123.10775999999998]]"
"[[31.58140000000003, -84.15601999999996]]"
"[[42.65155000000004, -73.75520999999998], [42.812380000000076, -73.94121999999999], [42.73449000000005, -73.68808999999999]]"
"[[34.269510000000025, -86.20793999999995]]"
"[[35.08423000000005, -106.64904999999999]]"
"[[31.31266000000005, -92.44567999999998]]"
"[[40.60263000000003, -75.47026999999997], [40.63103000000007, -75.37788999999998], [40.69120000000004, -75.20982999999995]]"
"[[40.50719000000004, -78.39889999999997]]"
"[[35.207250000000045, -101.83388999999994]]"
"[[42.02534000000003, -93.62019999999995]]"
"[[61.21753000000007, -149.85824999999997]]"
"[[42.28210000000007, -83.74846999999994]]"
"[[33.65712000000008, -85.81890999999996], [33.61307000000005, -85.83569999999997], [33.814220000000034, -85.76117999999997]]"
"[[44.261780000000044, -88.41713999999996]]"
"[[18.472420000000056, -66.71969999999993]]"
"[[35.59868000000006, -82.55339999999995]]"
"[[41.889260000000036, -80.78672999999998]]"
"[[32.20431000000008, -95.85549999999995]]"
"[[39.328500000000076, -82.10443999999995]]"
"[[33.95816000000008, -83.37311999999997], [33.951105719000054, -83.36741216699994]]"
"[[33.74831000000006, -84.39110999999997], [33.92483000000004, -84.37907999999999], [34.021660000000054, -84.35929999999996]]"
"[[39.36287000000004, -74.42636999999996], [39.63595000000004, -74.80359999999996]]"
"[[42.92936000000003, -76.56590999999997]]"
"[[32.60829000000007, -85.48172999999997], [32.65050000000008, -85.38064999999995]]"
"[[33.47929000000005, -81.97521999999998], [33.359629563000055, -82.07361770099999]]"
"[[44.31803000000008, -69.77620999999994], [44.55279000000007, -69.63134999999994]]"
"[[30.26759000000004, -97.74298999999996], [30.509040000000027, -97.67721999999998]]"
"[[35.36723000000006, -119.01885999999996]]"
"[[39.290580000000034, -76.60925999999995], [39.21106000000003, -76.86708999999996], [39.39994000000007, -76.60535999999996]]"
"[[44.80171000000007, -68.77076999999997]]"
"[[42.557206600248264, -71.01799110282322]]"
"[[30.443350000000066, -91.18663999999995]]"
"[[42.31648000000007, -85.18000999999998]]"
"[[43.59527000000003, -83.88490999999993]]"
"[[30.086150000000032, -94.10134999999997], [29.89940000000007, -93.92948999999999]]"
"[[43.45633000000004, -88.83017999999998]]"
"[[37.77792000000005, -81.18785999999994]]"
"[[48.752350000000035, -122.47121999999996]]"
"[[44.05782000000005, -121.31536999999997], [44.27257000000003, -121.17588999999998]]"
"[[45.784260000000074, -108.50606999999997]]"
"[[42.09871000000004, -75.91118999999998]]"
"[[33.52068000000003, -86.81175999999994], [33.38791000000003, -86.80602999999996]]"
"[[46.805360000000064, -100.77968999999996]]"
"[[37.226530000000025, -80.41089999999997], [37.130390000000034, -80.40812999999997], [37.120690000000025, -80.58995999999996]]"
"[[40.48535000000004, -88.99771999999996]]"
"[[39.166600000000074, -86.53479999999996]]"
"[[41.004590000000064, -76.45332999999994], [41.05088000000006, -76.24351999999999]]"
"[[37.26798000000008, -81.22261999999995]]"
"[[43.60764000000006, -116.19339999999994]]"
"[[42.35866000000004, -71.05673999999993], [42.36679000000004, -71.10600999999997], [42.338550000000055, -71.20709999999997]]"
"[[40.01574000000005, -105.27923999999996]]"
"[[36.994620000000054, -86.44557999999995]]"
"[[45.67934000000008, -111.03221999999994]]"
"[[46.35349000000008, -94.20068999999995]]"
"[[36.64156000000003, -93.21788999999995]]"
"[[47.565000000000055, -122.62748999999997], [47.65171000000004, -122.69274999999999]]"
"[[41.18213000000003, -73.19063999999997], [41.05195000000003, -73.54221999999999], [41.11366000000004, -73.40764999999993]]"
"[[25.902090000000044, -97.49923999999999], [26.189860000000067, -97.69554999999997]]"
"[[31.149740000000065, -81.49555999999995]]"
"[[42.885440000000074, -78.87845999999996], [42.90402000000006, -78.73427999999996], [43.08458754000003, -79.06948865099997]]"
"[[36.09686000000005, -79.43790999999999]]"
"[[44.47593000000006, -73.21276999999998], [44.455490000000054, -73.17912999999999]]"
"[[38.30326000000008, -76.51897999999994], [38.265640000000076, -76.45274999999998]]"
"[[40.79788000000008, -81.37193999999994], [40.79463000000004, -81.52282999999994]]"
"[[26.629820000000052, -81.95693999999997], [26.640840000000026, -81.86792999999994]]"
"[[37.30271000000005, -89.54452999999995]]"
"[[37.72730000000007, -89.21579999999994], [37.73082000000005, -88.93003999999996]]"
"[[39.16506000000004, -119.76696999999996]]"
"[[42.85008000000005, -106.32779]]"
"[[41.97646000000003, -91.67345999999998]]"
"[[46.72894000000008, -122.95297999999997]]"
"[[39.93743000000006, -77.66074999999995], [39.75621000000007, -77.57854999999995]]"
"[[40.11420000000004, -88.24349999999998], [40.117380000000026, -88.20442999999995]]"
"[[38.35016000000007, -81.63894999999997]]"
"[[32.781150000000025, -79.93159999999995], [32.877320000000054, -80.00858999999997]]"
"[[35.222860000000026, -80.83795999999995], [35.410430000000076, -80.58119999999997], [35.262200000000064, -81.18675999999994]]"
"[[38.03213000000005, -78.47755999999998]]"
"[[35.04672000000005, -85.30946999999998]]"
"[[41.13481000000007, -104.82153999999997]]"
"[[41.884250000000065, -87.63244999999995], [41.770830000000046, -88.15301999999997], [42.039570000000026, -88.28386999999998]]"
"[[39.73200000000003, -121.84197999999998]]"
"[[39.33537000000007, -82.96775999999994]]"
"[[39.162000000000035, -84.45688999999999]]"
"[[43.37418000000008, -72.33615999999995], [43.645080000000064, -72.25379999999996]]"
"[[39.27944000000008, -80.34016999999994]]"
"[[36.531210000000044, -87.35991999999999]]"
"[[38.95072000000005, -122.62236999999999]]"
"[[35.160180000000025, -84.87531999999999]]"
"[[41.50473000000005, -81.69073999999995], [41.367680000000064, -82.10583999999994]]"
"[[47.67168000000004, -116.77584999999999]]"
"[[30.620540000000062, -96.32589999999999], [30.670980000000043, -96.37041999999997]]"
"[[38.83352000000008, -104.82180999999997]]"
"[[33.99882000000002, -81.04536999999993]]"
"[[38.95252000000005, -92.33414999999997]]"
"[[39.20150000000007, -85.91867999999994]]"
"[[32.46288000000004, -84.98756999999995]]"
"[[39.96199000000007, -83.00274999999993]]"
"[[43.207250000000045, -71.53659999999996]]"
"[[36.16193000000004, -85.49979999999994]]"
"[[43.36797000000007, -124.21965999999998]]"
"[[42.143260000000055, -77.05455999999998]]"
"[[27.796410000000037, -97.40373999999997]]"
"[[44.565030000000036, -123.26350999999994]]"
"[[30.76183000000003, -86.57101999999998], [30.404240000000073, -86.61529999999999], [30.393290000000036, -86.49565999999999]]"
"[[34.17437000000007, -86.84344999999996]]"
"[[39.651770000000056, -78.76332999999994]]"
"[[32.77822000000003, -96.79511999999994], [32.750950000000046, -97.33085999999997], [32.735600000000034, -97.10771999999997]]"
"[[34.761450000000025, -84.97217999999998]]"
"[[40.159800000000075, -87.63043999999996]]"
"[[36.58598000000006, -79.41719999999998]]"
"[[30.60391000000004, -87.90091999999999], [30.537680000000023, -87.88629999999995], [30.406070000000057, -87.68379999999996]]"
"[[41.53826000000004, -90.57601999999997], [41.66273214735109, -95.84728828734086], [41.59361460559286, -93.552048]]"
"[[39.75920000000008, -84.19380999999998]]"
"[[34.60740000000004, -86.97978999999998]]"
"[[39.84585000000004, -88.95208999999994]]"
"[[28.93223000000006, -81.22334999999998], [29.20357000000007, -81.03939999999994], [29.28558000000004, -81.05554999999998]]"
"[[39.74001000000004, -104.99201999999997], [39.70932000000005, -104.81457999999998], [39.710920000000044, -105.08206999999999]]"
"[[41.58981000000006, -93.61537999999996], [41.56770000000006, -93.75693999999999]]"
"[[42.33168000000006, -83.04799999999994], [42.47754000000003, -83.02769999999998], [42.32207000000005, -83.17628999999994]]"
"[[31.223250000000064, -85.39336999999995]]"
"[[39.15803000000005, -75.52472999999998]]"
