geographic area name,state,metro-micro,id,population_16_up,unemployment_rate,commute_own_transport_alone,commute_carpool,commute_public,commute_walk,commute_other,commute_WFH,mean_minutes_to_work,household_income_less_10k,household_income_10k-15k,household_income_15k-25k,household_income_25k-35k,household_income_35k-50k,household_income_50k-75k,household_income_75k-100k,household_income_100k-150k,household_income_150k-200k,household_income_over_200k,median_household_income,mean-median,percent_households_receiving_SS,percent_households_receiving_retirement,mean_retirement_income,percent_private_health_ins,percent_public_health_ins,percent_no_health_ins,percent_in_poverty_last_12_months
Aberdeen,WA,Micro,310M400US10140,61308,4.6,79.2,8.9,0.5,3.1,2.9,5.4,26.7,8.4,4.1,12.8,12.3,13.6,22.7,11.1,9.5,3.4,2.1,48255,13525,49.6,25.6,22595,53.5,55.7,8.1,9.2
Abilene,TX,Metro,310M400US10180,136605,3.7,77.7,13.2,0.1,1.9,1.5,5.6,18.4,5.5,5.6,10,12.9,17.7,16.1,11.7,12.4,4.4,3.6,48021,18704,31.1,20.7,22444,62.8,33.7,15.9,10.9
Adrian,MI,Micro,310M400US10300,79720,3.9,84.6,7.5,0,3.1,1.3,3.6,24.7,4.2,4.6,10.5,10.4,14.9,21.1,14.3,13.7,3.1,3.3,55378,14948,39.4,25.5,19760,72.2,41.7,4.1,5.9
Aguadilla-Isabela,PR,Metro,310M400US10380,249121,14.5,85.4,7.7,0.2,2.3,2,2.5,26.9,30.2,14.5,20.1,11.6,10.3,7.8,2.4,1.8,0.5,0.7,17064,10214,47.4,14.9,22026,28.9,70.4,5.6,46.9
Akron,OH,Metro,310M400US10420,580989,5.5,83,7.7,1.6,1.7,0.7,5.3,24,5.8,4.3,10.2,8.9,12.7,17.7,14,15.3,6,5,60019,19773,33.4,21.5,27158,71.4,36.4,5.5,7.5
Alamogordo,NM,Micro,310M400US10460,53166,5.2,82.4,8.3,1,2.3,0.8,5.2,20,15.1,5.5,10.3,10.1,16.5,19.7,11.2,7,3.3,1.4,42591,11010,35,22.2,35757,51.6,54.2,8.8,14.9
Albany,OR,Metro,310M400US10540,102520,6,79.3,11.9,0.1,1.4,1.8,5.5,23.7,4,5.4,10.4,8.1,17.1,22.3,12.2,13.3,3.9,3.3,54113,14876,37.6,21,22918,62,45.1,7,9.5
Albany,GA,Metro,310M400US10500,118813,9.2,83.6,10.6,0.1,1.6,0.9,3.1,21.3,11.9,5.9,10.5,10.4,17.4,19.7,9.6,9.3,3.3,2,44896,14549,32.9,16.3,26250,54,40.5,16.6,19.7
Albany-Schenectady-Troy,NY,Metro,310M400US10580,732924,4.9,79.4,8.1,3.5,3.4,1.2,4.5,22.9,4.8,3.4,8,7.6,11.4,17.3,13.8,19.3,7.7,6.6,71301,18645,33.6,23.9,33137,77.5,35.3,3.4,5.8
Albertville,AL,Micro,310M400US10700,74664,4.4,85.5,8.1,1,0.7,0.4,4.3,25.8,8.9,8,12.4,9.6,12.4,19.1,12.6,11.2,3.2,2.8,47528,15938,37.1,19.4,29804,65.4,38.4,10.3,14.8
Albuquerque,NM,Metro,310M400US10740,739062,6,78.6,12.1,1.4,1.3,1.6,5,24.2,8.4,5.4,10.3,10.6,14.2,18.1,11.3,12.7,4.6,4.6,51134,20295,32.8,21.3,30084,59.6,44.7,8.9,11.3
Alexandria,LA,Metro,310M400US10780,120480,7.3,85.3,7.3,1.2,2.1,2.6,1.5,23.3,10.3,4.2,11.8,11.9,14.8,14.1,12.4,13.9,3.9,2.5,47391,16870,34.2,23.2,27049,56.8,49.7,7.2,13.2
Allentown-Bethlehem-Easton,PA-NJ,Metro,310M400US10900,687174,5.5,80.8,8.8,1.7,2.3,1.6,4.7,27.6,4.5,3.7,9,9.1,12.8,17,13.6,16.5,7.1,6.8,65929,20457,36.6,22,22154,72.3,36.2,5.6,7.5
Altoona,PA,Metro,310M400US11020,101683,3.9,84.5,6.2,2.4,2.3,0.6,4.1,19,6.5,7.1,10.9,11.5,14.1,16.8,14.9,12.5,2.6,3,49942,16153,40.6,19.7,19255,69.5,44,5,9.4
