name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,hours,gmap_id,url
Circle K,100 Gateway Cir,Jacksonville,FL,32259,30.063509399999997,-81.5053882,1.8,8,['convenience Store' 'atm' 'diesel Fuel Supplier' 'gas Station'],"[array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)]",0x88e42d57522561e1:0x2aabd91210f232e9,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e42d57522561e1:0x2aabd91210f232e9?authuser=-1&hl=en&gl=us
Kangaroo Express,1209 Monument Rd,Jacksonville,FL,32225,30.342056799999998,-81.53766759999999,3.1,26,['convenience Store' 'atm' 'coffee Shop' 'diesel Fuel Supplier' 'fuel Pump' 'gas Station' 'soft Drinks Shop'],"[array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)]",0x88e5b4a1d816111b:0x38d7071333903369,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5b4a1d816111b:0x38d7071333903369?authuser=-1&hl=en&gl=us
Kangaroo,392 N Hathaway Ave,Bronson,FL,32621,29.4477314,-82.6420006,3.6,7,['convenience Store' 'coffee Shop' 'diesel Fuel Supplier' 'fuel Pump' 'gas Station'],"[array(['Wednesday', '6AM–11PM'], dtype=object)
 array(['Thursday', '6AM–11PM'], dtype=object)
 array(['Friday', '6AM–11PM'], dtype=object)
 array(['Saturday', '6AM–11PM'], dtype=object)
 array(['Sunday', '6AM–11PM'], dtype=object)
 array(['Monday', '6AM–11PM'], dtype=object)
 array(['Tuesday', '6AM–11PM'], dtype=object)]",0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8ec2cbe4ec8e3:0x33cd95344d6390a3?authuser=-1&hl=en&gl=us
Texaco,7148 Philips Hwy,Jacksonville,FL,32256,30.2430293,-81.59975759999999,1.3,8,['gas Station' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump'],,0x88e5cafa069f1f99:0x9872a19ecfdab3db,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5cafa069f1f99:0x9872a19ecfdab3db?authuser=-1&hl=en&gl=us
Kangaroo Express,100 W Miller St,Fruitland Park,FL,34731,28.861914799999997,-81.907142,3.3,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e7c0e2d7f1ab67:0xb5f9c4c5983a5055,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7c0e2d7f1ab67:0xb5f9c4c5983a5055?authuser=-1&hl=en&gl=us
Circle K,1777 US-17,Pomona Park,FL,32181,29.4962503,-81.59413169999999,3.1,7,['gas Station' 'atm' 'coffee Shop' 'diesel Fuel Supplier' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e65e725ccfebf5:0xa39dc69ae9ccaa72,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e65e725ccfebf5:0xa39dc69ae9ccaa72?authuser=-1&hl=en&gl=us
Circle K,1986 FL-20,Hawthorne,FL,32640,29.608284899999997,-82.0257256,4.2,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e6176e3e68c351:0xf704e2be67186060,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6176e3e68c351:0xf704e2be67186060?authuser=-1&hl=en&gl=us
Circle K,500 E Moody Blvd,Bunnell,FL,32110,29.468398999999998,-81.2555981,3.6,15,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)]",0x88e6ec9cee8a6de9:0x3a739611fd5a15a3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6ec9cee8a6de9:0x3a739611fd5a15a3?authuser=-1&hl=en&gl=us
Chevron,6970 Okeechobee Blvd,West Palm Beach,FL,33411,26.707515899999997,-80.157423,3.2,8,['gas Station' 'convenience Store' 'diesel Fuel Supplier' 'fuel Pump'],"[array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)]",0x88d92913d7bd5713:0x84f89ac5fac93376,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d92913d7bd5713:0x84f89ac5fac93376?authuser=-1&hl=en&gl=us
Circle K,1115 A1A Beach Blvd,St Augustine Beach,FL,32080,29.826883,-81.27173499999999,2.4,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)]",0x88e69dca57c74cbf:0xe1ca321bf5190b2a,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e69dca57c74cbf:0xe1ca321bf5190b2a?authuser=-1&hl=en&gl=us
Kangaroo Express,1297 Simpson Rd,Kissimmee,FL,34744,28.3038219,-81.3504523,2.9,8,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)]",0x88dd855ba878b291:0xa5a1f549451ab53d,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd855ba878b291:0xa5a1f549451ab53d?authuser=-1&hl=en&gl=us
Kangaroo Express,9001 Southside Blvd,Jacksonville,FL,32256,30.195698999999998,-81.550932,3.6,7,['convenience Store' 'coffee Shop' 'diesel Fuel Supplier' 'fuel Pump' 'gas Station'],"[array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)]",0x88e5cb0fa59bb3ff:0xad643c8876782025,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5cb0fa59bb3ff:0xad643c8876782025?authuser=-1&hl=en&gl=us
Airgas Store,6735 33rd St E,Sarasota,FL,34243,27.4209303,-82.5214396,4.3,8,['welding Supply Store' 'gas Cylinders Supplier' 'industrial Equipment Supplier' 'industrial Gas Supplier' 'safety Equipment Supplier' 'welding Gas Supplier'],"[array(['Saturday', 'Closed'], dtype=object)
 array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', 'Closed'], dtype=object)
 array(['Tuesday', '7:30AM–4:30PM'], dtype=object)
 array(['Wednesday', '7:30AM–4:30PM'], dtype=object)
 array(['Thursday', '7:30AM–4:30PM'], dtype=object)
 array(['Friday', '7:30AM–4:30PM'], dtype=object)]",0x88c33e60607aa1b5:0x6e05eb953c3235c0,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c33e60607aa1b5:0x6e05eb953c3235c0?authuser=-1&hl=en&gl=us
Circle K,1410 E Hillsborough Ave,Tampa,FL,33604,27.9964467,-82.44324809999999,2.9,18,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'public Bathroom' 'snack Bar' 'soft Drinks Shop'],"[array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)]",0x88c2c427d9aa5085:0x47cc70baf49f47e5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2c427d9aa5085:0x47cc70baf49f47e5?authuser=-1&hl=en&gl=us
Circle K,2025 N Lecanto Hwy,Lecanto,FL,34461,28.893030099999997,-82.4833768,3.3,18,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)]",0x88e86b850aeb5741:0x885f4720d5e8a85b,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e86b850aeb5741:0x885f4720d5e8a85b?authuser=-1&hl=en&gl=us
Circle K,1901 W Brandon Blvd,Brandon,FL,33511,27.937173599999998,-82.3148446,3.1,14,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)
 array(['Friday', 'Open 24 hours'], dtype=object)]",0x88c2cda83a9f6a53:0xc73b10ca34c42fe9,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2cda83a9f6a53:0xc73b10ca34c42fe9?authuser=-1&hl=en&gl=us
Kangaroo Express,399 US-17,DeBary,FL,32713,28.8668823,-81.3160247,3.5,17,['convenience Store' 'atm' 'coffee Shop' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)]",0x88e7118ceff75eed:0xcf31b593cb481b87,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7118ceff75eed:0xcf31b593cb481b87?authuser=-1&hl=en&gl=us
Circle K,1030 Saxon Blvd,Orange City,FL,32763,28.910381899999997,-81.2817829,3.3,16,['convenience Store' 'atm' 'coffee Shop' 'coffee Store' 'diesel Fuel Supplier' 'gas Station' 'snack Bar' 'soft Drinks Shop'],"[array(['Friday', 'Open 24 hours'], dtype=object)
 array(['Saturday', 'Open 24 hours'], dtype=object)
 array(['Sunday', 'Open 24 hours'], dtype=object)
 array(['Monday', 'Open 24 hours'], dtype=object)
 array(['Tuesday', 'Open 24 hours'], dtype=object)
 array(['Wednesday', 'Open 24 hours'], dtype=object)
 array(['Thursday', 'Open 24 hours'], dtype=object)]",0x88e716ddad07ef2b:0x9331fa7c88ddf2e4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e716ddad07ef2b:0x9331fa7c88ddf2e4?authuser=-1&hl=en&gl=us
